,id,timestamp,timestamp_local,sn,rh,temp,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,opcn3_pm1,opcn3_pm25,opcn3_pm10,pm1_env,pm25_env,pm10_env,neph_bin0,wd,ws,co2_raw,co_we,co_ae,no_we,no_ae,no2_we,no2_ae,o3_we,o3_ae,so2_we,so2_ae,h2s_we,h2s_ae,co_diff,no_diff,no2_diff,ox_diff,so2_diff,h2s_diff,flag,lat,lon,device_state
13,47,2021-10-08T18:58:37Z,2021-10-08T18:58:37Z,MOD-00014,46.6,23.9,3.4844,0.2065,0.0561,0.0034,0.0104,0.007,0.0106,0.0034,0.0035,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.87,3.19,3.5,4.6,4.6,815.25,0.0,0.0,,3293.4,2281.5,,,,,,,670.1,661.7,,,1011.9,,,,8.39999999999998,,24,,,PRE-REGISTERED
14,46,2021-10-08T18:57:37Z,2021-10-08T18:57:37Z,MOD-00014,46.6,23.9,3.4172,0.1498,0.0614,0.0068,0.0068,0.0068,0.0,0.0,0.0034,0.0033,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.67,3.5,3.0,4.5,4.5,716.625,0.0,0.0,,3293.4,2281.8,,,,,,,670.4,662.2,,,1011.6,,,,8.19999999999993,,24,,,PRE-REGISTERED
15,45,2021-10-08T18:56:37Z,2021-10-08T18:56:37Z,MOD-00014,46.5,23.9,3.3782,0.1892,0.0412,0.0,0.0035,0.0035,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.58,0.65,2.9,4.1,4.1,718.5,0.0,0.0,,3293.4,2281.4,,,,,,,670.2,663.0,,,1012.0,,,,7.20000000000005,,24,,,PRE-REGISTERED
16,44,2021-10-08T18:55:37Z,2021-10-08T18:55:37Z,MOD-00014,46.5,23.9,3.3387,0.1281,0.0383,0.0207,0.0071,0.0,0.007,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.68,0.99,2.9,4.6,5.0,707.25,0.0,0.0,,3293.4,2281.1,,,,,,,670.3,661.6,,,1012.3,,,,8.69999999999993,,24,,,PRE-REGISTERED
17,43,2021-10-08T18:54:37Z,2021-10-08T18:54:37Z,MOD-00014,46.5,23.9,3.3053,0.1056,0.0409,0.0102,0.0,0.0101,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.6,1.1,3.8,5.0,6.1,787.875,0.0,0.0,,3293.4,2281.1,,,,,,,670.1,662.0,,,1012.3,,,,8.10000000000002,,24,,,PRE-REGISTERED
18,42,2021-10-08T18:53:37Z,2021-10-08T18:53:37Z,MOD-00014,46.5,23.9,3.4339,0.1794,0.0246,0.0141,0.0035,0.0036,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.65,0.78,3.4,4.9,5.2,849.375,0.0,0.0,,3293.4,2280.5,,,,,,,670.2,661.7,,,1012.9,,,,8.5,,24,,,PRE-REGISTERED
19,41,2021-10-08T18:52:37Z,2021-10-08T18:52:37Z,MOD-00014,46.3,23.9,3.3551,0.181,0.0674,0.0036,0.0071,0.0036,0.0036,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.68,0.94,3.2,4.2,4.9,814.5,0.0,0.0,,3293.4,2281.5,,,,,,,669.9,662.7,,,1011.9,,,,7.19999999999993,,24,,,PRE-REGISTERED
20,40,2021-10-08T18:51:37Z,2021-10-08T18:51:37Z,MOD-00014,46.4,23.9,3.6963,0.1936,0.0428,0.0108,0.0072,0.0036,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.71,0.85,4.1,5.4,5.4,870.375,0.0,0.0,,3293.4,2281.5,,,,,,,669.9,662.4,,,1011.9,,,,7.5,,24,,,PRE-REGISTERED
21,39,2021-10-08T18:50:37Z,2021-10-08T18:50:37Z,MOD-00014,46.6,23.9,3.5885,0.1707,0.041,0.0148,0.0113,0.0036,0.0,0.0037,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.72,1.44,2.6,4.5,4.5,691.125,0.0,0.0,,3293.4,2279.8,,,,,,,670.4,662.8,,,1013.6,,,,7.60000000000002,,24,,,PRE-REGISTERED
22,38,2021-10-08T18:49:37Z,2021-10-08T18:49:37Z,MOD-00014,46.7,23.9,3.5787,0.1341,0.0261,0.0187,0.0112,0.0074,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.79,1.02,3.6,5.0,5.0,777.375,0.0,0.0,,3293.4,2279.5,,,,,,,670.2,661.9,,,1013.9,,,,8.30000000000007,,24,,,PRE-REGISTERED
23,37,2021-10-08T18:48:37Z,2021-10-08T18:48:37Z,MOD-00014,46.7,23.9,3.4613,0.1755,0.0396,0.0071,0.0107,0.0108,0.0036,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.71,2.37,3.0,3.9,3.9,666.75,0.0,0.0,,3293.3,2278.6,,,,,,,670.0,662.1,,,1014.7,,,,7.89999999999998,,24,,,PRE-REGISTERED
24,36,2021-10-08T18:47:37Z,2021-10-08T18:47:37Z,MOD-00014,46.7,23.9,3.3776,0.1426,0.0536,0.007,0.0179,0.0036,0.0,0.0036,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.68,2.39,2.5,4.0,4.0,735.0,0.0,0.0,,3293.3,2278.5,,,,,,,670.0,662.4,,,1014.8,,,,7.60000000000002,,24,,,PRE-REGISTERED
25,35,2021-10-08T18:46:37Z,2021-10-08T18:46:37Z,MOD-00014,46.7,23.9,3.7101,0.1479,0.0334,0.0111,0.0147,0.0037,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.69,0.91,3.4,4.1,4.1,761.25,0.0,0.0,,3293.3,2279.9,,,,,,,670.1,662.0,,,1013.4,,,,8.10000000000002,,24,,,PRE-REGISTERED
26,34,2021-10-08T18:45:37Z,2021-10-08T18:45:37Z,MOD-00014,46.7,23.8,3.5084,0.1962,0.0345,0.0069,0.0068,0.0104,0.0103,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0034,0.0034,0.0,0.0,0.49,0.78,10.04,4.2,6.2,6.5,862.875,0.0,0.0,,3293.2,2278.4,,,,,,,670.1,662.5,,,1014.8,,,,7.60000000000002,,24,,,PRE-REGISTERED
27,33,2021-10-08T18:44:37Z,2021-10-08T18:44:37Z,MOD-00014,46.6,23.8,3.4924,0.1649,0.0565,0.0176,0.0073,0.0069,0.0105,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.81,1.93,3.1,4.8,4.8,745.5,0.0,0.0,,3293.2,2278.4,,,,,,,669.9,661.5,,,1014.8,,,,8.39999999999998,,24,,,PRE-REGISTERED
28,32,2021-10-08T18:43:37Z,2021-10-08T18:43:37Z,MOD-00014,46.4,23.8,3.5443,0.1797,0.0549,0.0073,0.0184,0.0036,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.71,0.79,3.8,5.1,5.1,810.75,0.0,0.0,,3293.3,2278.3,,,,,,,670.3,662.3,,,1015.0,,,,8.0,,24,,,PRE-REGISTERED
