,id,timestamp,timestamp_local,sn,rh,temp,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,opcn3_pm1,opcn3_pm25,opcn3_pm10,pm1_env,pm25_env,pm10_env,neph_bin0,wd,ws,co2_raw,co_we,co_ae,no_we,no_ae,no2_we,no2_ae,o3_we,o3_ae,so2_we,so2_ae,h2s_we,h2s_ae,co_diff,no_diff,no2_diff,ox_diff,so2_diff,h2s_diff,flag,lat,lon,device_state
29,31,2021-10-08T18:42:37Z,2021-10-08T18:42:37Z,MOD-00014,46.3,23.8,3.3268,0.1762,0.0524,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.58,0.62,3.8,5.5,5.5,818.625,0.0,0.0,,3293.3,2277.8,,,,,,,670.0,662.6,,,1015.5,,,,7.39999999999998,,24,,,PRE-REGISTERED
30,30,2021-10-08T18:41:37Z,2021-10-08T18:41:37Z,MOD-00014,46.3,23.8,3.2363,0.1698,0.0688,0.0,0.014,0.0035,0.0069,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.73,1.05,3.0,4.4,4.6,672.75,0.0,0.0,,3293.3,2276.9,,,,,,,669.9,661.9,,,1016.4,,,,8.0,,24,,,PRE-REGISTERED
31,29,2021-10-08T18:40:37Z,2021-10-08T18:40:37Z,MOD-00014,46.4,23.8,3.3707,0.1028,0.0372,0.0034,0.0102,0.024,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.77,1.33,3.4,4.8,5.2,779.25,0.0,0.0,,3293.3,2276.2,,,,,,,670.1,661.6,,,1017.1,,,,8.5,,24,,,PRE-REGISTERED
32,28,2021-10-08T18:39:37Z,2021-10-08T18:39:37Z,MOD-00014,46.5,23.8,3.3219,0.1806,0.0342,0.0204,0.0034,0.0136,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.48,0.71,3.3,3.2,4.6,5.4,812.25,0.0,0.0,,3293.3,2276.8,,,,,,,669.6,661.2,,,1016.5,,,,8.39999999999998,,24,,,PRE-REGISTERED
33,27,2021-10-08T18:38:37Z,2021-10-08T18:38:37Z,MOD-00014,46.6,23.8,3.4314,0.1774,0.0524,0.0139,0.0035,0.0035,0.0034,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.72,1.18,3.5,4.4,4.4,742.5,0.0,0.0,,3293.3,2275.8,,,,,,,669.9,662.2,,,1017.5,,,,7.69999999999993,,24,,,PRE-REGISTERED
34,26,2021-10-08T18:37:37Z,2021-10-08T18:37:37Z,MOD-00014,46.8,23.8,3.3193,0.1924,0.0597,0.0,0.007,0.0035,0.0069,0.0034,0.0035,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.74,3.05,4.5,6.5,6.5,1032.375,0.0,0.0,,3293.3,2274.5,,,,,,,670.3,663.0,,,1018.8,,,,7.29999999999995,,24,,,PRE-REGISTERED
35,25,2021-10-08T18:36:37Z,2021-10-08T18:36:37Z,MOD-00014,46.7,23.8,3.3662,0.1936,0.038,0.0171,0.0069,0.0,0.0035,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.69,1.41,3.5,5.5,5.5,767.625,0.0,0.0,,3293.4,2275.6,,,,,,,669.9,662.4,,,1017.8,,,,7.5,,24,,,PRE-REGISTERED
36,24,2021-10-08T18:35:37Z,2021-10-08T18:35:37Z,MOD-00014,46.7,23.8,3.2476,0.1264,0.0272,0.0102,0.0136,0.0,0.0136,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.8,1.4,3.0,5.2,5.2,689.25,0.0,0.0,,3293.4,2275.2,,,,,,,670.3,662.1,,,1018.2,,,,8.19999999999993,,24,,,PRE-REGISTERED
37,23,2021-10-08T18:34:37Z,2021-10-08T18:34:37Z,MOD-00014,46.7,23.8,3.1602,0.1466,0.0266,0.0066,0.0033,0.0067,0.0067,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.65,1.24,3.0,4.9,4.9,746.625,0.0,0.0,,3293.4,2274.5,,,,,,,669.9,661.8,,,1018.9,,,,8.10000000000002,,24,,,PRE-REGISTERED
38,22,2021-10-08T18:33:37Z,2021-10-08T18:33:37Z,MOD-00014,46.7,23.8,3.1099,0.1304,0.0476,0.0035,0.0172,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.57,0.59,3.4,4.2,4.2,690.375,0.0,0.0,,3293.3,2274.4,,,,,,,669.9,662.5,,,1018.9,,,,7.39999999999998,,24,,,PRE-REGISTERED
