,Unnamed: 0,id,timestamp,timestamp_local,sn,temp_box,temp_manifold,rh_manifold,pressure,dew_point,noise,solar,wind_dir,wind_speed,opc_flow,co2_raw,voc_raw,co_we,co_ae,no_we,no_ae,no2_we,no2_ae,o3_we,o3_ae,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,sample_time,lat,lon,flag,device_state
25,25,7312950,2019-12-13T20:00:07Z,2019-12-13T15:00:07Z,SN000-063,42.5,40.2,17.7,102072,11.1,1430.3,1.0,58.0,0,0.1,542.2,0,1184.2,607.5,768.1,703.1,1871.8,1910.1,1861.8,1872.8,3.653,0.261,0.10099999999999999,0.049,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
24,24,7313096,2019-12-13T20:01:07Z,2019-12-13T15:01:07Z,SN000-063,42.3,40.0,17.7,102072,10.9,1440.0,1.0,65.1,0,0.1,533.8,0,1193.0,603.7,771.6,702.5,1871.5,1909.7,1861.5,1872.2,3.475,0.256,0.09699999999999999,0.046,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
23,23,7313100,2019-12-13T20:02:07Z,2019-12-13T15:02:07Z,SN000-063,42.1,39.8,17.8,102069,10.9,1375.7,1.0,57.7,0,0.1,535.5,0,1160.3,604.8,774.0,702.1,1870.7,1909.7,1860.8,1872.4,3.303,0.245,0.09300000000000001,0.042,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
22,22,7313105,2019-12-13T20:03:07Z,2019-12-13T15:03:07Z,SN000-063,42.0,39.7,17.9,102071,10.8,1372.8,0.8,61.6,0,0.1,526.8,0,1141.3,601.3,774.6,701.7,1870.6,1909.4,1861.1,1872.5,3.2569999999999997,0.244,0.08800000000000001,0.043,0.003,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
21,21,7313111,2019-12-13T20:04:07Z,2019-12-13T15:04:07Z,SN000-063,41.9,39.5,17.9,102076,10.7,1417.8,0.8,61.9,0,0.1,536.5,0,1172.7,599.8,779.9,701.3,1871.8,1909.3,1862.2,1872.3,3.253,0.247,0.096,0.045,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
20,20,7313118,2019-12-13T20:05:07Z,2019-12-13T15:05:07Z,SN000-063,41.7,39.4,18.0,102074,10.7,1392.7,1.0,63.5,0,0.1,530.0,0,1257.7,599.0,784.7,700.9,1873.0,1909.1,1864.2,1872.9,3.248,0.242,0.09300000000000001,0.044000000000000004,0.005,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
19,19,7313274,2019-12-13T20:06:07Z,2019-12-13T15:06:07Z,SN000-063,41.5,39.2,18.1,102072,10.6,1410.7,1.0,63.0,0,0.1,537.5,0,1300.5,600.0,785.1,700.6,1873.8,1908.7,1865.6,1872.7,3.093,0.24100000000000002,0.09300000000000001,0.042,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
18,18,7313280,2019-12-13T20:07:07Z,2019-12-13T15:07:07Z,SN000-063,41.4,39.1,18.1,102070,10.5,1367.5,1.0,61.9,0,0.1,546.2,0,1247.4,599.0,777.4,700.4,1877.2,1908.6,1869.7,1872.8,3.009,0.237,0.08800000000000001,0.042,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
17,17,7313289,2019-12-13T20:08:07Z,2019-12-13T15:08:07Z,SN000-063,41.2,38.9,18.1,102064,10.4,1365.2,1.0,61.5,0,0.1,528.8,0,1111.3,594.6,769.0,699.6,1881.2,1908.4,1874.7,1872.7,3.037,0.24,0.086,0.04,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
16,16,7313297,2019-12-13T20:09:07Z,2019-12-13T15:09:07Z,SN000-063,41.1,38.8,18.2,102065,10.4,1420.8,1.0,61.0,0,0.1,537.0,0,1042.6,594.5,765.6,699.4,1882.7,1908.6,1876.9,1873.1,3.112,0.23,0.087,0.044000000000000004,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
15,15,7313306,2019-12-13T20:10:07Z,2019-12-13T15:10:07Z,SN000-063,41.0,38.7,18.2,102056,10.3,1389.7,1.0,64.9,0,0.1,530.5,0,972.1,592.8,757.6,698.7,1881.4,1908.1,1875.7,1872.6,3.207,0.237,0.085,0.042,0.003,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
14,14,7313451,2019-12-13T20:11:07Z,2019-12-13T15:11:07Z,SN000-063,40.8,38.5,18.3,102054,10.2,1416.3,0.8,57.0,0,0.1,534.0,0,866.7,590.0,749.8,698.4,1880.2,1907.9,1874.4,1873.1,3.253,0.24,0.086,0.043,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
13,13,7313456,2019-12-13T20:12:07Z,2019-12-13T15:12:07Z,SN000-063,40.7,38.4,18.4,102058,10.2,1379.3,1.0,62.3,0,0.1,537.0,0,816.1,590.8,747.1,697.9,1879.8,1907.7,1874.1,1873.0,3.202,0.245,0.09,0.043,0.003,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
12,12,7313462,2019-12-13T20:13:07Z,2019-12-13T15:13:07Z,SN000-063,40.5,38.2,18.5,102060,10.1,1373.0,0.8,62.6,0,0.1,535.8,0,806.7,588.4,741.7,697.7,1879.1,1907.7,1873.2,1873.2,3.404,0.233,0.08900000000000001,0.042,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
11,11,7313468,2019-12-13T20:14:07Z,2019-12-13T15:14:07Z,SN000-063,40.4,38.1,18.2,101957,9.8,1417.0,1.0,58.3,0,0.1,545.0,0,815.5,588.0,738.4,696.9,1874.6,1907.3,1866.8,1873.4,3.467,0.237,0.092,0.042,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
10,10,7313474,2019-12-13T20:15:07Z,2019-12-13T15:15:07Z,SN000-063,40.3,38.0,16.5,102023,8.2,1398.8,1.0,61.3,0,0.1,550.8,0,790.1,581.5,740.4,696.5,1869.4,1907.4,1858.1,1873.5,3.0069999999999997,0.21100000000000002,0.07400000000000001,0.037000000000000005,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
9,9,7313619,2019-12-13T20:16:07Z,2019-12-13T15:16:07Z,SN000-063,40.1,37.8,14.3,102122,6.1,1417.2,0.8,63.4,0,0.1,622.0,0,780.5,577.6,742.9,696.3,1866.0,1906.7,1853.1,1873.0,2.173,0.138,0.045,0.023,0.005,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
8,8,7313625,2019-12-13T20:17:07Z,2019-12-13T15:17:07Z,SN000-063,40.0,37.7,13.9,102084,5.5,1377.3,0.8,59.3,0,0.1,654.8,0,779.5,583.0,741.5,696.0,1867.5,1906.8,1856.3,1873.1,2.282,0.152,0.053,0.026000000000000002,0.005,0.001,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
7,7,7313634,2019-12-13T20:18:07Z,2019-12-13T15:18:07Z,SN000-063,39.9,37.5,13.8,102122,5.2,1372.0,1.0,64.5,0,0.1,638.5,0,777.7,585.2,741.8,695.6,1867.5,1906.2,1855.7,1873.0,2.228,0.14400000000000002,0.048,0.023,0.006,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
6,6,7313641,2019-12-13T20:19:07Z,2019-12-13T15:19:07Z,SN000-063,39.7,37.4,13.3,102126,4.7,1423.7,1.0,59.3,0,0.1,626.0,0,771.4,585.5,740.5,695.5,1868.0,1905.9,1857.2,1873.5,2.2030000000000003,0.14400000000000002,0.047,0.024,0.005,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
5,5,7313652,2019-12-13T20:20:07Z,2019-12-13T15:20:07Z,SN000-063,39.6,37.3,13.8,101884,5.1,1381.7,1.0,62.5,0,0.1,583.2,0,763.4,585.7,735.2,695.3,1871.4,1906.0,1864.1,1873.1,2.8989999999999996,0.198,0.07,0.035,0.006999999999999999,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
4,4,7313789,2019-12-13T20:21:07Z,2019-12-13T15:21:07Z,SN000-063,39.5,37.1,15.0,101916,6.2,1407.3,1.0,63.5,0,0.1,566.2,0,765.3,592.6,733.1,694.7,1873.2,1905.8,1866.4,1873.4,3.5839999999999996,0.22899999999999998,0.085,0.039,0.005,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
3,3,7313792,2019-12-13T20:22:07Z,2019-12-13T15:22:07Z,SN000-063,39.4,37.0,14.4,102123,5.5,1355.7,1.0,59.1,0,0.1,603.8,0,770.1,590.4,738.7,694.3,1868.7,1905.5,1858.1,1873.4,2.58,0.16,0.051,0.024,0.005,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
2,2,7313799,2019-12-13T20:23:07Z,2019-12-13T15:23:07Z,SN000-063,39.3,36.9,13.6,102127,4.5,1346.7,1.0,62.0,0,0.1,663.5,0,766.3,586.9,737.4,693.9,1869.0,1905.6,1859.0,1873.3,2.3280000000000003,0.141,0.045,0.023,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
1,1,7313805,2019-12-13T20:24:07Z,2019-12-13T15:24:07Z,SN000-063,39.1,36.7,13.3,102124,4.1,1408.5,1.0,61.8,0,0.1,653.2,0,764.8,587.1,736.7,693.5,1869.4,1905.3,1859.9,1873.4,2.415,0.152,0.047,0.022000000000000002,0.004,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
0,0,7313814,2019-12-13T20:25:07Z,2019-12-13T15:25:07Z,SN000-063,39.0,36.6,13.3,102123,4.1,1399.3,0.8,61.8,0,0.1,666.0,0,762.0,590.9,735.8,693.4,1870.1,1905.0,1861.3,1873.0,2.536,0.163,0.052000000000000005,0.021,0.005,0.0,0,0,0,0,0,0,0,0,0,10,42.528877,-71.272903,0,CALIBRATION
