id,timestamp,timestamp_local,sn,raw_table_id,wd,ws,sample_temp,sample_rh,pm1,pm25,pm10,co2,co,no,no2,o3,so2,h2s,lat,lon,device_state,pm1_model_id,pm25_model_id,pm10_model_id,co2_model_id,co_model_id,no_model_id,no2_model_id,o3_model_id,so2_model_id,h2s_model_id
33,2021-10-08 18:44:37+00:00,2021-10-08 18:44:37+00:00,MOD-00014,33,0.0,0.0,23.8,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
34,2021-10-08 18:45:37+00:00,2021-10-08 18:45:37+00:00,MOD-00014,34,0.0,0.0,23.8,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
35,2021-10-08 18:46:37+00:00,2021-10-08 18:46:37+00:00,MOD-00014,35,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
36,2021-10-08 18:47:37+00:00,2021-10-08 18:47:37+00:00,MOD-00014,36,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
37,2021-10-08 18:48:37+00:00,2021-10-08 18:48:37+00:00,MOD-00014,37,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
38,2021-10-08 18:49:37+00:00,2021-10-08 18:49:37+00:00,MOD-00014,38,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
39,2021-10-08 18:50:37+00:00,2021-10-08 18:50:37+00:00,MOD-00014,39,0.0,0.0,23.9,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
42,2021-10-08 18:53:37+00:00,2021-10-08 18:53:37+00:00,MOD-00014,42,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
43,2021-10-08 18:54:37+00:00,2021-10-08 18:54:37+00:00,MOD-00014,43,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
44,2021-10-08 18:55:37+00:00,2021-10-08 18:55:37+00:00,MOD-00014,44,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
45,2021-10-08 18:56:37+00:00,2021-10-08 18:56:37+00:00,MOD-00014,45,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
46,2021-10-08 18:57:37+00:00,2021-10-08 18:57:37+00:00,MOD-00014,46,0.0,0.0,23.9,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
47,2021-10-08 18:58:37+00:00,2021-10-08 18:58:37+00:00,MOD-00014,47,0.0,0.0,23.9,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
48,2021-10-08 18:59:37+00:00,2021-10-08 18:59:37+00:00,MOD-00014,48,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
49,2021-10-08 19:00:37+00:00,2021-10-08 19:00:37+00:00,MOD-00014,49,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
50,2021-10-08 19:01:37+00:00,2021-10-08 19:01:37+00:00,MOD-00014,50,0.0,0.0,23.9,46.8,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
51,2021-10-08 19:02:37+00:00,2021-10-08 19:02:37+00:00,MOD-00014,51,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
52,2021-10-08 19:03:37+00:00,2021-10-08 19:03:37+00:00,MOD-00014,52,0.0,0.0,23.9,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
53,2021-10-08 19:04:37+00:00,2021-10-08 19:04:37+00:00,MOD-00014,53,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
54,2021-10-08 19:05:37+00:00,2021-10-08 19:05:37+00:00,MOD-00014,54,0.0,0.0,23.9,46.4,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
55,2021-10-08 19:06:37+00:00,2021-10-08 19:06:37+00:00,MOD-00014,55,0.0,0.0,23.9,46.3,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
56,2021-10-08 19:07:37+00:00,2021-10-08 19:07:37+00:00,MOD-00014,56,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
57,2021-10-08 19:08:37+00:00,2021-10-08 19:08:37+00:00,MOD-00014,57,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
58,2021-10-08 19:09:37+00:00,2021-10-08 19:09:37+00:00,MOD-00014,58,0.0,0.0,23.9,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
59,2021-10-08 19:10:37+00:00,2021-10-08 19:10:37+00:00,MOD-00014,59,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
60,2021-10-08 19:11:37+00:00,2021-10-08 19:11:37+00:00,MOD-00014,60,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
